Transaction_ID,Date,Year,Month,Country,Currency,Product,Category,Customer_Segment,Quantity,Unit_Price_Local,Unit_Price_Currency,Revenue_Local,Revenue_USD,COGS_USD,Gross_Profit_USD,OpEx_USD,EBITDA_USD,Gross_Margin_Pct,EBITDA_Margin_Pct
1000,2022-01-18,2022,1,UK,GBP,Software License,Technology,Consumer,16,3736.56,GBP,59784.96,75926.9,35757.12,40169.78,15299.64,24870.14,52.91,32.76
1001,2022-01-01,2022,1,UK,GBP,Support & Maintenance,Services,Government,3,932.06,GBP,2796.18,3551.15,1120.71,2430.44,624.3,1806.14,68.44,50.86
1002,2022-01-25,2022,1,India,INR,Cloud Services,Technology,Government,15,7013.53,INR,105202.95,1262.44,420.97,841.47,290.86,550.61,66.65,43.61
1003,2022-01-04,2022,1,Germany,EUR,Training,Services,Government,22,4529.13,EUR,99640.86,107612.13,33854.14,73757.99,23085.4,50672.59,68.54,47.09
1004,2022-01-24,2022,1,UK,GBP,Consulting,Services,Enterprise,23,12788.67,GBP,294139.41,373557.05,161047.1,212509.95,82581.97,129927.98,56.89,34.78
1005,2022-01-28,2022,1,UAE,AED,Support & Maintenance,Services,Enterprise,25,1642.6,AED,41065.0,11087.55,3747.08,7340.47,2154.27,5186.2,66.2,46.77
1006,2022-01-03,2022,1,Canada,CAD,Support & Maintenance,Services,SMB,46,1508.55,CAD,69393.3,51351.04,23024.73,28326.31,11089.78,17236.53,55.16,33.57
1007,2022-01-12,2022,1,France,EUR,Software License,Technology,Government,18,7074.45,EUR,127340.1,137527.31,68795.72,68731.59,17108.14,51623.45,49.98,37.54
1008,2022-01-06,2022,1,France,EUR,Training,Services,Consumer,45,14081.49,EUR,633667.05,684360.41,304137.03,380223.38,130965.81,249257.57,55.56,36.42
1009,2022-01-23,2022,1,India,INR,Training,Services,SMB,11,7202.77,INR,79230.47,950.77,314.69,636.08,227.05,409.03,66.9,43.02
1010,2022-01-11,2022,1,India,INR,Cloud Services,Technology,Consumer,50,11752.0,INR,587600.0,7051.2,2247.32,4803.88,739.07,4064.81,68.13,57.65
1011,2022-01-07,2022,1,Australia,AUD,Hardware,Technology,Enterprise,14,13740.47,AUD,192366.58,125038.28,52535.34,72502.94,25968.84,46534.1,57.98,37.22
1012,2022-01-09,2022,1,UAE,AED,Consulting,Services,Government,10,4340.76,AED,43407.6,11720.05,3797.16,7922.89,2158.89,5764.0,67.6,49.18
1013,2022-01-03,2022,1,Brazil,BRL,Consulting,Services,Government,24,3680.15,BRL,88323.6,17664.72,9702.55,7962.17,3116.57,4845.6,45.07,27.43
1014,2022-01-13,2022,1,USA,USD,Software License,Technology,SMB,41,2819.74,USD,115609.34,115609.34,52503.33,63106.01,21903.5,41202.51,54.59,35.64
